model_name,variable,channel_name,lead_hours,rmse,mae,bias,skill_vs_persistence
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,Mean sea level pressure,mean_sea_level_pressure,144,1402.7687968340697,897.5670989622553,8.924682744622622,-0.4718793345804877
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,500 hPa geopotential,geopotential_500,144,1112.8045744637402,697.2387085629449,-19.13652978747724,-0.05062489295374628
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,10 m zonal wind,10m_u_component_of_wind,144,6.401139171181326,4.894366550550012,-0.6929480188974023,-0.21687713600581882
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,2 m temperature,2m_temperature,168,9.686970829309969,6.87205265960192,-2.0827425121608205,-1.8738680428097862
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,Mean sea level pressure,mean_sea_level_pressure,168,1500.2883972482934,957.912329181784,9.88643359981257,-0.5576108481156299
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,500 hPa geopotential,geopotential_500,168,1204.097439648295,754.7438050987687,-16.97743370146506,-0.11943378041206887
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,10 m zonal wind,10m_u_component_of_wind,168,6.72025560043445,5.175740479639561,-0.7597804729789006,-0.26680288990629863
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,2 m temperature,2m_temperature,192,9.886024263705298,7.084218931877078,-2.14203320693343,-1.8766345950169323
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,Mean sea level pressure,mean_sea_level_pressure,192,1573.7574532411222,1005.9391370524712,10.885535644283692,-0.6170638564233215
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,500 hPa geopotential,geopotential_500,192,1267.2954477073793,792.2223548178866,-15.360786515023857,-0.16175342264272485
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,10 m zonal wind,10m_u_component_of_wind,192,6.938666816878092,5.375501902184377,-1.0059999751104582,-0.299389060725598
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,2 m temperature,2m_temperature,216,10.006441073820424,7.234115168664437,-2.182889802171262,-1.8665727903229161
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,Mean sea level pressure,mean_sea_level_pressure,216,1623.3736761916605,1042.8359473939793,11.491525452212723,-0.6559421802716685
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,500 hPa geopotential,geopotential_500,216,1305.8482618258035,819.0676464068276,-14.229163320537204,-0.18385263481040193
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,10 m zonal wind,10m_u_component_of_wind,216,7.082752376280997,5.527321348576791,-1.126606886253691,-0.32171830485508357
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,2 m temperature,2m_temperature,240,10.057581963788692,7.313458626528821,-2.2118318262392695,-1.8415752830964807
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,Mean sea level pressure,mean_sea_level_pressure,240,1659.528414189627,1080.8120623919685,11.868886430579495,-0.681836186185955
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,500 hPa geopotential,geopotential_500,240,1326.4410487072198,837.3694917944149,-14.42395423406578,-0.1899047401203069
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,10 m zonal wind,10m_u_component_of_wind,240,7.10429201478476,5.549116504414319,-1.1500835041357418,-0.3212299608789888
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,2 m temperature,2m_temperature,264,10.076404781255853,7.358622894621366,-2.230880886544795,-1.8097206655067701
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,Mean sea level pressure,mean_sea_level_pressure,264,1683.8827870182088,1108.495534339061,11.998635082359774,-0.6976964350303452
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,500 hPa geopotential,geopotential_500,264,1340.9792291419515,854.1277879629313,-14.85915279257859,-0.19397356057992843
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,10 m zonal wind,10m_u_component_of_wind,264,7.169135612106614,5.608679214678093,-1.2086546645629315,-0.3282526891795945
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,2 m temperature,2m_temperature,288,10.08586419186516,7.392059634314179,-2.244217461327995,-1.7800275198303366
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,Mean sea level pressure,mean_sea_level_pressure,288,1698.9196858956482,1126.5290829511227,12.030318016551542,-0.7065038000277397
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,500 hPa geopotential,geopotential_500,288,1351.5568652564737,870.0159985645707,-15.18809366696244,-0.1977812437108042
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,10 m zonal wind,10m_u_component_of_wind,288,7.2582158245330675,5.691339640079427,-1.3210945367029698,-0.3424903906478729
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,2 m temperature,2m_temperature,312,10.083197135684916,7.412237669787036,-2.2537238733661398,-1.751011250154876
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,Mean sea level pressure,mean_sea_level_pressure,312,1696.5676542908568,1126.550544329306,11.768521739775876,-0.6976334893368084
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,500 hPa geopotential,geopotential_500,312,1351.1847920540713,875.7658417316283,-15.407035848527723,-0.19138067425690708
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,10 m zonal wind,10m_u_component_of_wind,312,7.401869870301257,5.825316183668891,-1.4712500495169014,-0.36561019086272095
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,2 m temperature,2m_temperature,336,10.063358986458057,7.411951398274985,-2.261113784007671,-1.7166365990944028
dinosaur_dfi_surface_residual_weak_hs_logp_init_hydrostatic_layer_init_coriolis_strang_stability_surface_residual_ri_10m_wind_theta_tendency_theta_mean_recenter_si_offcenter,Mean sea level pressure,mean_sea_level_pressure,336,1684.4137913963484,1121.237025784245,11.43682824403276,-0.6845035563331408
