model_name,variable,channel_name,lead_hours,rmse,mae,bias,skill_vs_persistence
persistence,2 m temperature,2m_temperature,48,2.6805635582821448,1.570119994027274,0.019256300159863064,0.0
persistence,Mean sea level pressure,mean_sea_level_pressure,48,785.3667023390138,482.15834263392856,-2.3012428283691406,0.0
persistence,500 hPa geopotential,geopotential_500,48,813.3433205866125,497.73416573660717,0.050964219229561944,0.0
persistence,10 m zonal wind,10m_u_component_of_wind,48,4.5783411623151355,3.0800064631870816,0.00545791643006461,0.0
persistence,2 m temperature,2m_temperature,72,2.91314208193675,1.7169110434395927,0.008778947804655348,0.0
persistence,Mean sea level pressure,mean_sea_level_pressure,72,883.3580409841915,549.4306989397321,-1.7205039433070592,0.0
persistence,500 hPa geopotential,geopotential_500,72,938.8260906959438,575.2672991071429,-2.225754601614816,0.0
persistence,10 m zonal wind,10m_u_component_of_wind,72,4.911344540267956,3.347076416015625,0.006473657275949206,0.0
persistence,2 m temperature,2m_temperature,96,3.0655612603956945,1.7951107025146484,0.012768941266196114,0.0
persistence,Mean sea level pressure,mean_sea_level_pressure,96,940.6323101282152,586.1261858258929,-1.1323901585170202,0.0
persistence,500 hPa geopotential,geopotential_500,96,991.8668545439238,613.8429129464286,-4.030274527413504,0.0
persistence,10 m zonal wind,10m_u_component_of_wind,96,5.185401899288315,3.528975622994559,-0.0015095280749457224,0.0
persistence,2 m temperature,2m_temperature,120,3.186034477413379,1.851670265197754,-0.0077485208000455585,0.0
persistence,Mean sea level pressure,mean_sea_level_pressure,120,945.1682389924028,591.9482421875,-1.7239288602556502,0.0
persistence,500 hPa geopotential,geopotential_500,120,1006.759085949989,629.8162667410714,-2.3223282950265065,0.0
persistence,10 m zonal wind,10m_u_component_of_wind,120,5.165655315462854,3.536022186279297,-0.0031870859009878977,0.0
persistence,2 m temperature,2m_temperature,144,3.3330678379957046,1.9346177237374442,-0.0032512545585632324,0.0
persistence,Mean sea level pressure,mean_sea_level_pressure,144,976.6540548511242,613.0837751116071,-1.7404492241995675,0.0
persistence,500 hPa geopotential,geopotential_500,144,1044.476116118917,651.1828962053571,-1.757256099155971,0.0
persistence,10 m zonal wind,10m_u_component_of_wind,144,5.323125493694835,3.628155027117048,-0.004567152687481472,0.0
persistence,2 m temperature,2m_temperature,168,3.439564112425024,1.995349611554827,0.0034468972257205416,0.0
persistence,Mean sea level pressure,mean_sea_level_pressure,168,994.6891115174774,626.9232003348214,-1.9029889787946428,0.0
persistence,500 hPa geopotential,geopotential_500,168,1061.8674251390466,665.1483677455357,-0.7506717954363141,0.0
persistence,10 m zonal wind,10m_u_component_of_wind,168,5.363183907854017,3.6789422716413225,-0.03848469257354736,0.0
persistence,2 m temperature,2m_temperature,192,3.526349589472992,2.0374317169189453,-0.005879755531038556,0.0
persistence,Mean sea level pressure,mean_sea_level_pressure,192,1003.3092031586559,638.1612025669643,-0.8508529663085938,0.0
persistence,500 hPa geopotential,geopotential_500,192,1088.8698269306574,681.4292689732143,-1.9722559792654855,0.0
persistence,10 m zonal wind,10m_u_component_of_wind,192,5.338884756868809,3.6752597263881137,-0.056085450308663506,0.0
persistence,2 m temperature,2m_temperature,216,3.575379763619742,2.0616704395839145,-0.006638982466288975,0.0
